Candidate,Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
Steyer,"605 Lake St","Spirit Lake",IA,,43.423348,-95.09916,1,rooftop,605,"Lake St","Spirit Lake",IA,"Dickinson County",51360,US,Dickinson
Biden,"615 Lake Ave","Storm Lake",IA,,42.645057,-95.20069,1,rooftop,615,"Lake Ave","Storm Lake",IA,"Buena Vista County",50588,US,"Buena Vista"
Buttigieg,"119 Railroad St","Storm Lake",IA,,42.64314,-95.199955,0.9,rooftop,119,"E Railroad St","Storm Lake",IA,"Buena Vista County",50588,US,"Buena Vista"
Warren,"816 Flint Dr","Storm Lake",IA,,42.646608,-95.191304,1,range_interpolation,816,"Flindt Dr","Storm Lake",IA,"Buena Vista County",50588,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"1515 E Lakeshore Dr","Storm Lake",IA,,42.633809,-95.179878,1,rooftop,1515,"E Lakeshore Dr","Storm Lake",IA,"Buena Vista County",50588,US,"Buena Vista"
Biden,"10 W 4th St",Waterloo,IA,,42.496493,-92.339236,1,rooftop,10,"W 4th St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
Buttigieg,"110 E 4th St",Waterloo,IA,,42.497602,-92.336314,1,rooftop,110,"E 4th St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
Klobuchar,"10 W 4th St",Waterloo,IA,,42.496493,-92.339236,1,rooftop,10,"W 4th St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
Sanders,"1712 W 4th St",Waterloo,IA,,42.483724,-92.358042,1,rooftop,1712,"W 4th St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
Steyer,"10 W 4th St",Waterloo,IA,,42.496493,-92.339236,1,rooftop,10,"W 4th St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
Warren,"630 Sycamore St",Waterloo,IA,,42.49793,-92.335762,1,range_interpolation,630,"Sycamore St",Waterloo,IA,"Black Hawk County",50703,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"217 W 4th St",Waterloo,IA,,42.494526,-92.340016,1,rooftop,217,"W 4th St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
