City,Precinct,Total People
Lansing,Pct 7,1
Larchwood,P4,1
Laurens,Sw,5
Lawton,36,1
Le Mars,Bv,1
Le Mars,Lm11,2
Le Mars,Lm12,5
Le Mars,Lm13,3
Leclaire,Lc1,2
Leclaire,Lc2,1
Leclaire,Lct,1
Lisbon,Tfra,3
Logan,Lo,1
Lone Tree,Fr,1
Lowden,Ma,1
Malvern,Mv,1
Manchester,Mc3,1
Manson,Bv,1
Mapleton,Cp003,1
Maquoketa,13,1
Marengo,Mr,1
Marion,Mr01,3
Marion,Mr02,1
Marion,Mr04,2
Marion,Mr05,3
Marion,Mr06,3
Marion,Mr07,3
Marion,Mr09,2
Marion,Mr11,6
Marion,Mr12,1
Marion,Mr13,4
Marion,Mr14,2
Marshalltown,14 3-2,2
Marshalltown,9 1-1,1
Martensdale,Jf,1
Mason City,Mc W1p1,2
Mason City,Mc W1p3,3
Mason City,Mc W2p2,5
Mason City,Mc W3p1,2
Mason City,Mc W4p3,3
Maurice,Sm,1
Maxwell,Elkhart,1
Maxwell,Wash 1,1
Mc Causland,Mc,1
Mediapolis,My,2
Milford,Pct 08,3
Missouri Valley,Sj,2
Mitchellville,Mitchel,2
Monona,Gdlumo,2
Montezuma,11,2
Monticello,Mn2,1
Montrose,Ch Vb,1
Morning Sun,Ms,1
Mount Vernon,Mvn,1
Mount Vernon,Mvs,3
Moville,35,1
Mt Pleasant,Ce,2
Mt Pleasant,Mp1,1
Mt Pleasant,Mp2,1
Mt Pleasant,Mp4,1
Muscatine,Bl,2
Muscatine,Mu01,3
Muscatine,Mu02,1
Muscatine,Mu03,1
Muscatine,Mu06,1
Muscatine,Mu07,1
Muscatine,Mu09,1
Muscatine,Mu10,3
Muscatine,Sw,1
Mystic,Walnut,1
Nashua,Bd,1
Nevada,26,1
Nevada,30,3
Nevada,31,3
Nevada,33,1
Nevada,34,1
New Hampton,Nh4,1
New Hartford,8-Nh,1
Newell,Nenp,1
Newton,Hr,1
Newton,Ns,2
Newton,Nt1-1,2
Newton,Nt2-2,1
Newton,Nt3-1,1
Newton,Nt3-2,2
Newton,Nt4-1,2
Newton,Nt4-2,2
Newton,Pa,2
Nora Springs,Rgru,1
North English,En,2
North Liberty,Nl.01,11
North Liberty,Nl.02,8
North Liberty,Nl.03,11
North Liberty,Nl.04,2
North Liberty,Nl.05,5
North Liberty,Nl.06,2
North Liberty,Pn,3
Northwood,W31,7
Norwalk,Gr1,2
Norwalk,Nw2 Gr1,1
Norwalk,Nwk4,1
Oakland,Oakland,1
Ogden,Og,1
Okoboji,Pct 11,1
Onawa,On106,1
Orange City,Oc1,3
Orange City,Oc2,3
Orange City,Wb,1
Orient,04se,1
Osage,Os1,1
Osage,Os2,1
Osage,Os4,5
Osceola,Mdl,1
Osceola,Ne,1
Osceola,Oc1,3
Osceola,Oc2,5
Osceola,Oc3,4
Oskaloosa,Os1,2
Oskaloosa,Os2,3
Oskaloosa,Os4,4
Ottumwa,Ke,1
Ottumwa,Ot01,3
Ottumwa,Ot02,1
Ottumwa,Ot03,3
Ottumwa,Ot05,2
Ottumwa,Ot07,1
Ottumwa,Ot09,2
Oxford,Ox,1
Oxford Junction,Ox,1
Palo,Cr31,1
Pella,Pe1,1
Pella,Pe3,2
Pella,Pe4,3
Peosta,34,1
Perry,Py3,2
Perry,Sd,1
Pierson,33,1
Pleasant Hill,Clay 1,1
Pleasant Hill,Ph 1,1
Pleasant Hill,Ph 2,2
Pleasant Hill,Ph 3,1
Pleasantville,Pvlle,2
Pocahontas,Ph1,1
Polk City,Polk Ci,2
Prescott,Ad5,1
Preston,9,1
Princeton,Pr,2
Red Oak,1,2
Riceville,Rjo,1
Riverside,Aw,2
Rolfe,Dm,1
Russell,Wm,2
Ruthven,Lafr,1
Saint Ansgar,9,1
Scarville,Edlono,2
Sergeant Bluff,30,4
Sergeant Bluff,31,1
Sheffield,Rlrswf,1
Shelby,5,1
Sheldon,P4,1
Shell Rock,6-Sr,1
Shenandoah,Sd1,1
Shenandoah,Sd2,1
Shenandoah,Sd3,2
Sibley,Os2,1
Sioux Center,Scn,1
Sioux City,1,4
Sioux City,2,2
Sioux City,3,1
Sioux City,4,2
Sioux City,5,1
Sioux City,6,7
Sioux City,7,4
Sioux City,10,7
Sioux City,12,1
Sioux City,13,2
Sioux City,16,4
Sioux City,17,2
Sioux City,18,1
Sioux City,19,3
Sioux City,20,4
Sioux City,21,4
Sioux City,22,5
Sioux City,23,3
Sioux City,24,9
Sioux City,25,4
Sioux City,26,5
Sioux City,27,6
Sioux City,28,3
Sioux City,29,1
Sioux City,Ht,1
Sioux City,Py,1
Sloan,38,1
Solon,Ce,1
Solon,Je,1
South Amana,Ht,1
Spencer,Sp2,1
Spencer,Sp4,1
Spencer,Srsm,1
Spirit Lake,Pct 15,7
Springville,Tbro,1
Springville,Tlin,1
Stanton,6,1
Storm Lake,1,5
Storm Lake,2,6
Storm Lake,3,4
Storm Lake,4,8
Storm Lake,Lkhm,1
Storm Lake,Nenp,1
Story City,24,1
Story City,40,3
Stuart,6,1
Swisher,Je,2
Swisher,Jw,3
Thompson,Kili,1
Tiffin,Cc,6
Tiffin,Un,1
Tipton,Tt1,1
Titonka,Bf,2
Toddville,Tott,1
Treynor,Treynor,2
Urbandale,Urb 01,2
Urbandale,Urb 02,2
Urbandale,Urb 03,3
Urbandale,Urb 05,2
Urbandale,Urb 06,2
Urbandale,Urb 07,1
Urbandale,Urb 08,1
Urbandale,Urb 09,1
Urbandale,Urb 10,3
Urbandale,Urb 11,5
Urbandale,Urb13,3
Urbandale,Urb14,4
Urbandale,Urb15,2
Van Meter,Jl,1
Van Meter,Vm,1
Vinton,Vt2,1
Vinton,Vt3,1
Walker,Tgra,1
Wall Lake,9,1
Wapello,Sel,8
Washington,Ws1,1
Washington,Ws2,1
Washington,Ws4,1
Waterloo,N000,1
Waterloo,W101,4
Waterloo,W103,1
Waterloo,W104,1
Waterloo,W202,1
Waterloo,W205,3
Waterloo,W206,1
Waterloo,W301,1
Waterloo,W305,3
Waterloo,W306,1
Waterloo,W401,1
Waterloo,W403,5
Waterloo,W405,2
Waterloo,W406,1
Waterloo,W503,3
Waterloo,W504,1
Waterloo,W505,1
Waterloo,W506,2
Waukee,Wk1,1
Waukee,Wk2,13
Waukee,Wk3,7
Waukee,Wk4,1
Waukee,Wk5,7
Waukee,Wk6,6
Waukee,Wm322,1
Waukon,Pct 11,1
Waukon,Pct 2,1
Waverly,Pl,1
Waverly,Wl1,4
Waverly,Wl2,1
Waverly,Wl4,1
Waverly,Wl5,1
Webster City,Wc1,1
West Branch,Wb1,2
West Burlington,Fm,1
West Burlington,Wb,3
West Des Moines,Wdm-111,6
West Des Moines,Wdm-112,1
West Des Moines,Wdm-113,6
West Des Moines,Wdm-114,2
West Des Moines,Wdm-116,3
West Des Moines,Wdm-117,2
West Des Moines,Wdm-118,4
West Des Moines,Wdm-211,2
West Des Moines,Wdm-212,6
West Des Moines,Wdm-213,2
West Des Moines,Wdm-311,7
West Des Moines,Wdm-312,2
West Des Moines,Wdm-314,2
West Des Moines,Wdm-316,2
West Des Moines,Wdm-317,2
West Des Moines,Wdm-318,1
West Des Moines,Wm221,3
West Des Moines,Wm222,1
West Des Moines,Wm223,8
West Des Moines,Wm225,3
West Des Moines,Wm226,6
West Des Moines,Wm321,7
West Des Moines,Wm322,1
West Liberty,Wl2,1
West Liberty,Wlwa,3
West Point,Wpprdn,1
West Union,We1,1
Whittemore,Gf,1
Windsor Heights,Whts 2,2
Windsor Heights,Whts 3,5
Winterset,Ucs,1
Winterset,Wt2,3
Woodward,Bdm,3
Zearing,28,2
Total People,,2126
