name,district,members,population,house_dist,senate_district,congressional_district,area,geojson
Lincoln/Clay,LNCL,1,862.00000000000,2.00000000000,1,4,72.58419800000,"{""type"":""Polygon"",""coordinates"":[[[-95.3880859999688,43.0841460003378],[-95.1513499997026,43.0833579999719],[-95.151192999657,43.0682340003989],[-95.1514210002788,42.9957860004237],[-95.3887570003351,42.9961589996383],[-95.3880859999688,43.0841460003378]]]}"
Spencer 1,SPENCER1,1,2250.00000000000,2.00000000000,1,4,1.69420000000,"{""type"":""Polygon"",""coordinates"":[[[-95.1114180000405,43.1423540001372],[-95.1114030002481,43.1416580004166],[-95.1212809998181,43.1417950004391],[-95.1212039998646,43.1251560002494],[-95.1178780002693,43.1252399996264],[-95.1152559998644,43.1255729996943],[-95.1198569998006,43.1249210002042],[-95.1223460003675,43.12510399965],[-95.125645999663,43.1260439998309],[-95.1275880001859,43.126399000014],[-95.1320190003764,43.1263820001294],[-95.1317109996627,43.1292480000953],[-95.1321320001915,43.1302050001608],[-95.134204999561,43.1318519996702],[-95.1363860003135,43.1329950002192],[-95.1375780004242,43.1334319996872],[-95.139055000188,43.1337059997323],[-95.1418860003385,43.1337920001009],[-95.144181000053,43.1341450001918],[-95.1505099996366,43.1339239998928],[-95.1571479999801,43.1340569997309],[-95.1581520004144,43.1336820004241],[-95.1600269996462,43.1319220002003],[-95.1604379997138,43.1313550001333],[-95.1605660002206,43.1307900001585],[-95.1606779999896,43.1347999998203],[-95.1604809998981,43.1382430003144],[-95.1614899996636,43.1382729998992],[-95.1614309996407,43.1392130000801],[-95.1619949995694,43.1397610001702],[-95.1623650004443,43.139810999778],[-95.1627150003968,43.1393910001947],[-95.1629650002344,43.1393480000104],[-95.1628670002117,43.1410850000728],[-95.1647639995588,43.141036999658],[-95.1647160000432,43.1423219995608],[-95.1572049999107,43.1416890000475],[-95.1572259999797,43.1444970000367],[-95.1462999997451,43.1437879997166],[-95.1461950002989,43.1423289998836],[-95.1362860001986,43.1427110004125],[-95.1363670003366,43.1439120000389],[-95.1114180000405,43.1423540001372]]]}"
Des Moines Precinct 40,DSM40,1,1845.00000000000,41.00000000000,21,3,0.18864700000,"{""type"":""Polygon"",""coordinates"":[[[-93.6728959998504,41.600339000045],[-93.6729460003575,41.6040019998925],[-93.6584300000443,41.6040050000309],[-93.6584120001136,41.6003600001141],[-93.6728959998504,41.600339000045]]]}"
Douglas/Peterson,DGPE,1,649.00000000000,2.00000000000,1,4,71.23374900000,"{""type"":""Polygon"",""coordinates"":[[[-95.1512790000257,42.9099069998084],[-95.1709950000191,42.9097570000857],[-95.2595130000248,42.9099859998542],[-95.2820440003302,42.9098819995548],[-95.3087790002505,42.9101389997152],[-95.3580160000382,42.9098129999701],[-95.3881819998992,42.9098970002465],[-95.3881460000377,42.9243159996838],[-95.3883139996912,42.938771999928],[-95.3880140002458,42.9531880001263],[-95.3882619999911,42.9651509996191],[-95.3882460001527,42.9827540001971],[-95.3887570003351,42.9961589996383],[-95.1514210002788,42.9957860004237],[-95.151332999818,42.9535149999175],[-95.1516500000473,42.938831999997],[-95.1512660003255,42.9171259999651],[-95.1512790000257,42.9099069998084]]]}"
Garfield/Herland,GFHD,1,423.00000000000,2.00000000000,1,4,71.45793900000,"{""type"":""Polygon"",""coordinates"":[[[-94.9138639999235,42.9957939998934],[-94.9138900002232,42.9097000001551],[-95.0533510004482,42.9096759999476],[-95.1512790000257,42.9099069998084],[-95.1512660003255,42.9171259999651],[-95.1516500000473,42.938831999997],[-95.151332999818,42.9535149999175],[-95.1514210002788,42.9957860004237],[-95.0926529998359,42.9959089998007],[-95.0816119996939,42.9960839997769],[-95.0728729995891,42.9959350001004],[-95.0224699999903,42.9958020002622],[-94.9138639999235,42.9957939998934]]]}"
Spencer 5,SPENCER5,1,2262.00000000000,2.00000000000,1,4,2.32087900000,"{""type"":""Polygon"",""coordinates"":[[[-95.1605660002206,43.1307900001585],[-95.1604379997138,43.1313550001333],[-95.1600269996462,43.1319220002003],[-95.1581520004144,43.1336820004241],[-95.1571479999801,43.1340569997309],[-95.1505099996366,43.1339239998928],[-95.144181000053,43.1341450001918],[-95.1418860003385,43.1337920001009],[-95.139055000188,43.1337059997323],[-95.1375780004242,43.1334319996872],[-95.1363860003135,43.1329950002192],[-95.134204999561,43.1318519996702],[-95.1321320001915,43.1302050001608],[-95.1317109996627,43.1292480000953],[-95.1320190003764,43.1263820001294],[-95.1291860001336,43.1264889996677],[-95.1271929999568,43.1263490004062],[-95.1226920001355,43.125173000134],[-95.1209319999117,43.1249339999043],[-95.1187879999661,43.1250069996735],[-95.1142720003524,43.1256040002246],[-95.1127939996432,43.1259409995776],[-95.1125570004051,43.1258010003161],[-95.1125550003129,43.1251920001109],[-95.116832999743,43.1248080003891],[-95.1174470001787,43.123926000185],[-95.1212379996338,43.1239070002081],[-95.1212229998414,43.1224030000985],[-95.1422150002219,43.1221639998689],[-95.1428000002197,43.1122430001145],[-95.1488989999887,43.1122220000454],[-95.148972999804,43.1096110001477],[-95.1512179999106,43.1096310001707],[-95.1511599999339,43.1086259996903],[-95.1579700001153,43.1085990002438],[-95.1580730003685,43.1064140002061],[-95.1610449998267,43.1063619996067],[-95.1610720001725,43.1050759996578],[-95.1630670004416,43.1050710003266],[-95.16301299975,43.1122939997684],[-95.1609219995505,43.1122529996763],[-95.1608550000581,43.1192230000416],[-95.1661489995765,43.1192589999031],[-95.1660709995768,43.1256600001091],[-95.1676270002857,43.1256600001091],[-95.1676270002857,43.1269239999428],[-95.1643680001829,43.1269300002195],[-95.1643120002984,43.129246000003],[-95.160590000428,43.1292120002338],[-95.1605660002206,43.1307900001585]]]}"
Spencer 4,SPENCER4,1,2230.00000000000,2.00000000000,1,4,2.73673200000,"{""type"":""Polygon"",""coordinates"":[[[-95.1535569998555,43.1442660001759],[-95.1572259999797,43.1444970000367],[-95.1572049999107,43.1416890000475],[-95.1647160000432,43.1423219995608],[-95.1647639995588,43.141036999658],[-95.1704710001364,43.1411680003031],[-95.1705209997442,43.1428400000661],[-95.17422599973,43.1430699998808],[-95.1858980001924,43.1415190003018],[-95.1859810004227,43.1379070001082],[-95.2015669997171,43.1379219999005],[-95.2015800003166,43.1415269997714],[-95.2012709995568,43.1415279998175],[-95.2018540003617,43.1486170002745],[-95.1964429999443,43.1480619998616],[-95.1958779999696,43.1415360001864],[-95.1909949996194,43.1415439996561],[-95.1914590003324,43.1480110002076],[-95.2018579996468,43.1492289997187],[-95.2018720002924,43.1496219998556],[-95.2028050001505,43.1496959996708],[-95.2025039997596,43.1565560003593],[-95.2005290004129,43.1692250000339],[-95.1900760004069,43.1692199998033],[-95.1920210001689,43.1560589999231],[-95.1904549998982,43.1560250001538],[-95.1904380000136,43.1584759998677],[-95.1867479998202,43.1584460002829],[-95.1868300000044,43.1571950001493],[-95.1872379999336,43.1571980002876],[-95.1873309997257,43.155956999716],[-95.18133500021,43.155824999924],[-95.1805239996827,43.1561870004299],[-95.1793349997103,43.1564520000599],[-95.1789879998962,43.1567720004276],[-95.1791179995959,43.1574399997564],[-95.1781469997841,43.157972000008],[-95.1761339995842,43.158469999591],[-95.1746939997282,43.1584820001444],[-95.1747260003045,43.1556800004319],[-95.1603710002213,43.1555709999019],[-95.1603579996219,43.1510930002419],[-95.1631160000032,43.1510880000114],[-95.1631109997727,43.1486140001361],[-95.1554020004019,43.1486180003207],[-95.1553909998946,43.146496999637],[-95.1535690004089,43.146496999637],[-95.1535569998555,43.1442660001759]]]}"
Spencer 3,SPENCER3,1,2240.00000000000,2.00000000000,1,4,3.08224000000,"{""type"":""Polygon"",""coordinates"":[[[-95.1554020004019,43.1486180003207],[-95.1631109997727,43.1486140001361],[-95.1631160000032,43.1510880000114],[-95.1603579996219,43.1510930002419],[-95.1603710002213,43.1555709999019],[-95.172018999577,43.1556190003168],[-95.1720340002688,43.1610139999963],[-95.170263000437,43.1610069996735],[-95.1702499998375,43.1632339998494],[-95.1554530000558,43.1631929997573],[-95.1551949998492,43.1981999998303],[-95.150694000028,43.1981179996461],[-95.1506889997974,43.1908619995818],[-95.1512660003255,43.1908669998124],[-95.1513380000485,43.1871750004261],[-95.1502769996836,43.1836119997941],[-95.1484309999905,43.1837279997475],[-95.141588000086,43.1836489997017],[-95.1417169997396,43.1655280004171],[-95.1317080004237,43.16560000014],[-95.131591999571,43.162914000381],[-95.1215359998864,43.1630900004034],[-95.1214640001633,43.1562159999686],[-95.1335109999325,43.1561579999919],[-95.1333770000484,43.1542750003911],[-95.1349800002267,43.1521680003531],[-95.1412499997875,43.1519389996852],[-95.141182000249,43.1509509999888],[-95.1504670003516,43.1505939997135],[-95.1504610000749,43.1486200004128],[-95.1554020004019,43.1486180003207]]]}"
Emmetsburg 2,EMMETSBURG2,1,932.00000000000,2.00000000000,1,4,0.85685700000,"{""type"":""Polygon"",""coordinates"":[[[-94.6802359999913,43.1138129996704],[-94.683940999977,43.1137919996013],[-94.6839430000692,43.1147030002434],[-94.6851699999954,43.1147000001051],[-94.6851950002489,43.1137799999472],[-94.6864270004056,43.1137820000395],[-94.686422000175,43.1119700001156],[-94.6944849996829,43.1119399996314],[-94.6962639998835,43.1122389999301],[-94.6973369999025,43.1119100000466],[-94.7012660003255,43.1119510001387],[-94.7012909996797,43.1239120004386],[-94.7016209996093,43.1281410003071],[-94.678785999674,43.1282299999147],[-94.6788229995816,43.1270409999424],[-94.6791949996494,43.1266750001513],[-94.6796809995783,43.1265250004286],[-94.6888269995662,43.1264169999448],[-94.6889069996582,43.1164970002366],[-94.6802250003833,43.1165469998443],[-94.6802359999913,43.1138129996704]]]}"
Emmetsburg 1,EMMETSBURG1,1,947.00000000000,2.00000000000,1,4,1.36460800000,"{""type"":""Polygon"",""coordinates"":[[[-94.6802359999913,43.1138129996704],[-94.6802250003833,43.1165469998443],[-94.6889069996582,43.1164970002366],[-94.6888269995662,43.1264169999448],[-94.6796809995783,43.1265250004286],[-94.6790769996037,43.1267489999665],[-94.6788229995816,43.1270409999424],[-94.6787770001583,43.1273929999871],[-94.6787849996279,43.1373660003408],[-94.6741879998762,43.1373660003408],[-94.6741370002222,43.1407059996823],[-94.66873500022,43.1406620003512],[-94.6686239995977,43.1360309999309],[-94.6704720002824,43.1362379995842],[-94.6731800001567,43.1356999999552],[-94.6742839998066,43.1350889996578],[-94.67536100001,43.1340650000998],[-94.6754889996175,43.1337259997553],[-94.6752130003795,43.1333680003331],[-94.6752189997569,43.1328790002658],[-94.6757999995702,43.131351999995],[-94.6745379998287,43.1300759996079],[-94.6745430000593,43.1297140000013],[-94.6755119997788,43.1288780001198],[-94.6759219998003,43.1280359999616],[-94.6758950003538,43.1274249996642],[-94.6756540000319,43.1269249999889],[-94.6748000002197,43.1263329996684],[-94.6640279998921,43.1264889996677],[-94.6641140002608,43.1192159997188],[-94.6591210002338,43.1192209999493],[-94.6590280004417,43.1120290001384],[-94.6546740002048,43.1120280000923],[-94.6546540001818,43.1112209997495],[-94.6598689996545,43.1111999996804],[-94.6598899997235,43.1120290001384],[-94.6690440000804,43.1120379996541],[-94.6690440000804,43.1156649996402],[-94.6763380000985,43.1156709999169],[-94.6763020002369,43.1138709996471],[-94.6802359999913,43.1138129996704]]]}"
