County,Precinct,Combined,Precinct ID,Delegates,Commit Goal,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold,Precinct Captains,MSQ Yang Support -1's,MSQ Yang Support - 2's,Total Support,298 Turnout
Allamakee,Pct 8,Allamakee Pct 8,948217,5,13,10,4,0,0.00%,13,0,0,2,2,64
Allamakee,Pct 9,Allamakee Pct 9,948218,9,19,14,6,0,0.00%,19,0,2,6,8,93
Appanoose,Bl,Appanoose Bl,946557,4,14,11,5,0,0.00%,14,0,1,1,2,69
Appanoose,Cv1,Appanoose Cv1,946558,13,30,23,10,0,0.00%,30,0,2,4,6,152
Appanoose,Cv2,Appanoose Cv2,946559,11,23,18,8,1,5.60%,22,0,2,4,7,116
Appanoose,Cv3,Appanoose Cv3,946560,10,21,16,7,0,0.00%,21,0,0,0,0,106
Appanoose,Cw,Appanoose Cw,946561,2,6,5,6,0,0.00%,6,0,0,0,0,31
Appanoose,Jo,Appanoose Jo,946562,4,10,8,3,0,0.00%,10,0,0,0,0,51
Appanoose,Ps,Appanoose Ps,946563,5,11,9,4,0,0.00%,11,0,1,1,2,55
Appanoose,Ty,Appanoose Ty,946564,7,17,13,6,0,0.00%,17,0,1,0,1,85
Appanoose,Ud,Appanoose Ud,946565,4,12,9,4,0,0.00%,12,0,0,0,0,59
Appanoose,Vm,Appanoose Vm,946567,6,11,9,4,0,0.00%,11,0,0,2,2,54
Appanoose,Walnut,Appanoose Walnut,1950003,5,12,10,4,0,0.00%,12,0,1,3,4,60
Appanoose,Ws,Appanoose Ws,946569,4,7,5,2,0,0.00%,7,0,0,2,2,33
Audubon,1,Audubon 01,946570,15,48,36,17,3,8.30%,45,0,5,10,18,240
Audubon,2,Audubon 02,946571,15,40,30,14,0,0.00%,40,0,1,6,7,199
Benton,Bg,Benton Bg,946574,9,16,12,5,0,0.00%,16,0,0,4,4,77
Benton,Bn,Benton Bn,946575,22,44,34,15,0,0.00%,44,0,3,1,4,224
Benton,Bp1,Benton Bp1,946576,6,12,10,4,0,0.00%,12,0,0,3,3,64
Benton,Bp2,Benton Bp2,946577,5,8,7,3,0,0.00%,8,0,0,0,0,44
Benton,Bp3,Benton Bp3,946578,6,7,6,3,0,0.00%,7,0,0,0,0,38
