County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Pottawattamie,Cb 20,Pottawattamie Cb 20,947802,9,20,15,7,1,6.7%,19,1,4,5,10,7
Pottawattamie,Cb 21,Pottawattamie Cb 21,1593734,8,17,13,6,4,30.8%,13,0,1,8,13,7.5
Pottawattamie,Cl 1,Pottawattamie Cl 1,1593735,7,18,13,6,1,7.7%,17,0,21,10,32,25.5
Pottawattamie,Cl 2,Pottawattamie Cl 2,1593736,7,13,11,5,3,27.3%,10,2,8,10,21,15
Pottawattamie,Cresc,Pottawattamie Cresc,947807,13,36,28,13,3,10.7%,33,1,7,10,20,13.5
Pottawattamie,Garner,Pottawattamie Garner,947808,14,27,21,9,1,4.8%,26,0,2,4,7,5.5
Pottawattamie,Glwcw,Pottawattamie Glwcw,1833330,3,4,4,2,0,0.0%,4,0,0,1,1,0
Pottawattamie,Hancock,Pottawattamie Hancock,1833331,2,3,3,3,0,0.0%,3,0,0,0,0,0
Pottawattamie,Lewis 1,Pottawattamie Lewis 1,947813,11,23,19,8,1,5.3%,22,0,4,4,9,6.5
Pottawattamie,Lewis 2,Pottawattamie Lewis 2,947814,11,28,22,10,1,4.5%,27,0,4,11,16,9.5
Pottawattamie,MacEdon,Pottawattamie MacEdon,947818,1,4,4,1,0,0.0%,4,0,0,0,0,0
Pottawattamie,McClell,Pottawattamie McClell,1833332,3,6,6,3,0,0.0%,6,0,2,3,5,3.5
Pottawattamie,Minden,Pottawattamie Minden,947819,5,9,7,3,0,0.0%,9,0,0,1,1,0.5
Pottawattamie,Neola,Pottawattamie Neola,947820,8,16,12,5,0,0.0%,16,0,1,2,3,1.5
Pottawattamie,Oakland,Pottawattamie Oakland,1833333,8,12,10,4,1,10.0%,11,0,1,5,7,4.5
Pottawattamie,Treynor,Pottawattamie Treynor,1833334,6,11,9,4,2,22.2%,9,1,3,4,9,6.5
