County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Bremer,Su,Bremer Su,946681,1,6,28,24,13,0,0.0%,28,0,1,5,6,3.9,155,181,27
Bremer,Tr,Bremer Tr,1593431,1,5,19,16,9,5,31.3%,14,1,3,17,25,14.95,106,124,19
Bremer,Wl1,Bremer Wl1,946682,1,9,38,42,18,4,9.5%,34,1,10,29,43,26.3,277,249,37
Bremer,Wl2,Bremer Wl2,946683,1,7,31,31,15,4,12.9%,27,1,3,13,20,12,201,206,31
Bremer,Wl3,Bremer Wl3,946684,1,5,18,13,9,0,0.0%,18,0,5,11,16,9.5,83,115,17
Bremer,Wl4,Bremer Wl4,946685,1,8,30,41,14,2,4.9%,28,1,5,20,27,15.4,268,199,30
Bremer,Wl5,Bremer Wl5,946686,1,9,37,51,18,4,7.8%,33,2,6,19,29,18.2,339,243,36
Buchanan,Ar,Buchanan Ar,946688,1,5,13,13,6,0,0.0%,13,0,0,4,4,2,86,82,12
Buchanan,Bd,Buchanan Bd,946689,1,4,11,9,5,0,0.0%,11,0,0,2,2,1,54,69,10
Buchanan,Fb,Buchanan Fb,946690,1,5,14,13,7,1,7.7%,13,0,1,6,8,4.85,82,93,14
Buchanan,Ht,Buchanan Ht,946691,1,4,15,9,7,0,0.0%,15,0,3,3,6,3.2,54,100,15
Buchanan,I1,Buchanan I1,946692,1,12,28,34,14,1,2.9%,27,0,3,12,16,9.15,225,186,28
Buchanan,I2,Buchanan I2,946693,1,6,17,19,8,0,0.0%,17,0,5,4,9,7,126,108,16
Buchanan,I3,Buchanan I3,946694,1,9,24,22,11,1,4.5%,23,0,4,11,16,9.05,140,157,24
Buchanan,I4,Buchanan I4,946695,1,6,15,17,7,0,0.0%,15,0,1,7,8,4.4,109,98,15
Buchanan,I5,Buchanan I5,946696,1,6,15,16,7,0,0.0%,15,0,1,5,6,3.4,103,97,15
Buchanan,Js,Buchanan Js,946697,1,11,27,29,13,3,10.3%,24,2,3,8,14,9.05,191,176,26
Buchanan,Mn,Buchanan Mn,1593432,1,3,8,6,4,0,0.0%,8,0,0,1,1,0.5,38,47,7
Buchanan,Pw,Buchanan Pw,946699,1,6,14,12,7,1,8.3%,13,1,3,11,15,9.15,75,91,14
Buchanan,Qt,Buchanan Qt,946700,1,6,15,15,7,1,6.7%,14,1,4,13,18,11.55,96,96,14
Buchanan,Rw,Buchanan Rw,946701,1,5,15,15,7,0,0.0%,15,0,4,3,7,4.6,95,94,14
Buchanan,Wn,Buchanan Wn,946702,1,7,17,20,8,0,0.0%,17,0,2,5,7,4.3,131,107,16
Buena Vista,1,Buena Vista 01,946703,2,7,23,11,11,7,63.6%,16,4,29,40,76,47.75,69,150,38
Buena Vista,2,Buena Vista 02,946704,2,4,18,7,9,6,85.7%,12,0,19,30,55,33.8,44,117,29
Buena Vista,3,Buena Vista 03,946705,2,7,26,21,12,5,23.8%,21,1,27,50,82,50.05,135,171,43
Buena Vista,4,Buena Vista 04,946706,2,8,30,21,14,11,52.4%,19,2,14,37,62,40.05,135,196,49
Buena Vista,Acfc,Buena Vista Acfc,948219,2,2,12,5,6,2,40.0%,10,0,0,10,12,6.4,33,76,19
Buena Vista,Alne,Buena Vista Alne,948220,2,5,25,14,12,5,35.7%,20,2,6,23,34,20.15,93,162,41
Buena Vista,Lkhm,Buena Vista Lkhm,948222,2,3,15,11,7,5,45.5%,10,0,5,21,31,17.25,67,97,24
Buena Vista,Nenp,Buena Vista Nenp,948224,2,2,11,5,5,4,80.0%,7,0,2,7,13,8.6,29,69,17
Buena Vista,S-M-L-R,Buena Vista S-M-L-R,1593433,2,5,18,11,9,0,0.0%,18,0,2,9,11,6.3,70,120,30
Buena Vista,Trwg,Buena Vista Trwg,948227,2,2,10,6,5,0,0.0%,10,0,3,11,14,7.7,38,62,16
Butler,1-Gr,Butler 1-Gr,1593434,1,10,26,24,12,0,0.0%,26,0,3,10,13,7.2,157,169,25
Butler,2-Cl,Butler 2-Cl,1593435,1,11,26,18,13,0,0.0%,26,0,2,3,5,2.8,118,173,26
Butler,3-Du,Butler 3-Du,1593436,1,4,14,8,7,0,0.0%,14,0,1,2,3,1.9,49,88,13
Butler,4-Al,Butler 4-Al,1593437,1,4,14,7,7,2,28.6%,12,0,1,2,5,3.8,46,91,14
Butler,5-Ap,Butler 5-Ap,1593438,1,5,16,8,8,1,12.5%,15,0,0,2,3,1.95,49,102,15
Butler,6-Sr,Butler 6-Sr,1593439,1,11,24,20,12,0,0.0%,24,0,1,11,12,6.4,132,160,24
Butler,7-Pb,Butler 7-Pb,1593440,1,10,24,26,11,0,0.0%,24,0,2,5,7,4.3,170,156,23
Butler,8-Nh,Butler 8-Nh,1593441,1,5,12,11,6,1,9.1%,11,0,2,7,10,5.75,72,76,11
